uid;Description;Collection Description;Panel;Product;Software;Organism;Cells or Nuclei;Preservation Method;Staining Method;Biomaterial Type;Donor Count;Development Stage;Instrument(s);Publication Date;Replicate;Assay;License;Tissue;Chemistry Version;Modality;Disease;Disease Details;Analysis Steps;Dataset Url;Probe Set;Sequencing Configuration;Sample ID at Source;Slide Area;Chemistry Details;Number of Genes Targeted;Transcriptome;Pipeline Version;Number of Spots;Mean Reads per Spot;Median Genes per Spot;Genes Detected;Microscope;Objective;Numerical Aperture;Camera;Exposure;Gain
10zyf;Human Glioblastoma;Human Glioblastoma, Targeted and Whole Transcriptome Panels;Pan-Cancer Panel;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Targeted, Pan-Cancer Panel;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;Glioblastoma Multiforme;;spaceranger count;https://www.10xgenomics.com/datasets/human-glioblastoma-targeted-pan-cancer-panel-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E4;V10A13-167;C1;Spatial 3' v1;1253.0;GRCh38-2020-A;spaceranger-1.2.0;3,468;16,383;;1,198;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
10zad;Human Colorectal Cancer;Human Colorectal Cancer, Targeted and Whole Transcriptome Panels;Whole Transcriptome Analysis;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Whole Transcriptome Analysis;Visium;Creative Commons Attribution 4.0 International;large intestine;Visium v1;RNA;Invasive Adenocarcinoma;;spaceranger count;https://www.10xgenomics.com/datasets/human-colorectal-cancer-whole-transcriptome-analysis-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E8;V10A13-206;C1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;3,138;112,228;3,538;23,233;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
10kia;Human Colorectal Cancer;Human Colorectal Cancer, Targeted and Whole Transcriptome Panels;Gene Signature Panel;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Targeted, Gene Signature Panel;Visium;Creative Commons Attribution 4.0 International;large intestine;Visium v1;RNA;Invasive Adenocarcinoma;;spaceranger count;https://www.10xgenomics.com/datasets/human-colorectal-cancer-targeted-gene-signature-panel-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E8;V10A13-206;C1;Spatial 3' v1;1142.0;GRCh38-2020-A;spaceranger-1.2.0;3,138;16,795;;1,134;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
10kyn;Human Cerebellum;Human Cerebellum, Targeted and Whole Transcriptome Panels;Whole Transcriptome Analysis;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Whole Transcriptome Analysis;Visium;Creative Commons Attribution 4.0 International;cerebellum;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/human-cerebellum-whole-transcriptome-analysis-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E2;V10M18-056;C1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;4,992;42,431;2,865;23,808;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;1 ms;
1012t;Human Cerebellum;Human Cerebellum, Targeted and Whole Transcriptome Panels;Neuroscience Panel;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Targeted, Neuroscience Panel;Visium;Creative Commons Attribution 4.0 International;cerebellum;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/human-cerebellum-targeted-neuroscience-panel-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-E2;V10M18-056;C1;Visium V1 Slide - Targeted;1186.0;GRCh38-2020-A;spaceranger-2.0.0;4,992;10,200;;1,142;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;1 ms;
10p19;Human Breast Cancer;Human Breast Cancer, Targeted and Whole Transcriptome Panels;Whole Transcriptome Analysis;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Whole Transcriptome Analysis;Visium;Creative Commons Attribution 4.0 International;breast;Visium v1;RNA;Invasive Lobular Carcinoma;;spaceranger count;https://www.10xgenomics.com/datasets/human-breast-cancer-whole-transcriptome-analysis-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-A6;V19L29-095;A1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.2.0;4,325;72,436;3,671;23,812;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
1033x;Human Breast Cancer;Human Breast Cancer, Targeted and Whole Transcriptome Panels;Immunology Panel;Spatial Gene Expression;Space Ranger v1.2.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-10-27;Targeted, Immunology Panel;Visium;Creative Commons Attribution 4.0 International;breast;Visium v1;RNA;Invasive Lobular Carcinoma;;spaceranger count;https://www.10xgenomics.com/datasets/human-breast-cancer-targeted-immunology-panel-1-standard-1-2-0;;Paired-end (28 X 90), Dual-Indexed Sequencing, T1T2-A6;V19L29-095;A1;Spatial 3' v1;1056.0;GRCh38-2020-A;spaceranger-1.2.0;4,325;16,141;;973;Nikon Eclipse Ti2-E microscope;10X objective;0.45;Color camera;20 ms;
101in;Mouse Kidney Section (Coronal);Mouse Kidney Section (Coronal);;Spatial Gene Expression;Space Ranger v1.1.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;;Visium;Creative Commons Attribution 4.0 International;kidney;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-kidney-section-coronal-1-standard-1-1-0;;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L29-096;B1;Spatial 3' v1;;mm10-3.0.0;spaceranger-1.0.0;1,438;261,122;5,799;19,207;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
10ktp;Mouse Brain Section (Coronal);Mouse Brain, 3 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.1.3;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.1.3;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-1-0;;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L01-041;C1;Spatial 3' v1;;mm10-2020-A;spaceranger-1.3.0;2,702;115,569;6,018;21,949;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
107rw;Mouse Brain Section (Coronal);Mouse Brain, 3 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.1.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.1.0;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-1-0;;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L01-041;C1;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,702;115,569;6,018;21,949;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
10jft;Mouse Brain Section (Coronal);Mouse Brain, 3 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.0.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.0.0;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-section-coronal-1-standard-1-1-0;;Paired-end (28 X 90), Dual-Indexed Sequencing;V19L01-041;C1;Spatial 3' v1;;mm10-3.0.0;spaceranger-1.0.0;2,698;115,740;5,798;20,984;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
105jc;Human Lymph Node;Human Lymph Node, 2 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.1.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.1.0;Visium;Creative Commons Attribution 4.0 International;lymph node;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/human-lymph-node-1-standard-1-1-0;;28 x 120 bp;V19L01-033;A1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,035;123,311;5,999;25,187;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
105vj;Human Lymph Node;Human Lymph Node, 2 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.0.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.0.0;Visium;Creative Commons Attribution 4.0 International;lymph node;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/human-lymph-node-1-standard-1-1-0;;28 x 120 bp;V19L01-033;A1;Spatial 3' v1;;GRCh38-3.0.0;spaceranger-1.0.0;4,039;123,189;5,347;22,991;Nikon Ti2-E microscope;10X objective;0.45;Color camera;2 ms;4.5X
1025z;Human Heart;Human Heart, 2 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.1.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.1.0;Visium;Creative Commons Attribution 4.0 International;heart;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/human-heart-1-standard-1-1-0;;28 x 120 bp;V19S16-046;C1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,247;51,379;1,957;20,917;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
10e9s;Human Heart;Human Heart, 2 Space Ranger Versions;;Spatial Gene Expression;Space Ranger v1.0.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Space Ranger v1.0.0;Visium;Creative Commons Attribution 4.0 International;heart;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/human-heart-1-standard-1-1-0;;28 x 120 bp;V19S16-046;C1;Spatial 3' v1;;GRCh38-3.0.0;spaceranger-1.0.0;4,235;51,525;1,865;19,574;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
10fmm;Human Breast Cancer;Human Breast Cancer, 2 Sections;;Spatial Gene Expression;Space Ranger v1.1.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Block A Section 2;Visium;Creative Commons Attribution 4.0 International;breast;Visium v1;RNA;Invasive Ductal Carcinoma;;spaceranger count;https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-2-1-standard-1-1-0;;28 x 120 bp;V19L29-098;B1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;3,987;138,226;5,580;25,072;Nikon Ti2-E microscope;20X objective;0.75;Color camera;10 ms;4.5X
10fty;Human Breast Cancer;Human Breast Cancer, 2 Sections;;Spatial Gene Expression;Space Ranger v1.1.0;Human;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2020-06-23;Block A Section 1;Visium;Creative Commons Attribution 4.0 International;breast;Visium v1;RNA;Invasive Ductal Carcinoma;;spaceranger count;https://www.10xgenomics.com/datasets/human-breast-cancer-block-a-section-1-1-standard-1-1-0;;28 x 120 bp;V19L29-097;B1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;3,798;150,392;6,026;24,923;Nikon Ti2-E microscope;20X objective;0.75;Color camera;10 ms;4.5X
104dm;Adult Mouse Brain (Coronal). Stains: DAPI, Anti-GFAP, Anti-NeuN;Adult Mouse Brain, DAPI and antibodies, 2 Section;;Spatial Gene Expression;Space Ranger v1.1.0;Mouse;unknown;Fresh Frozen;IF|DAPI;Specimen from Organism;1;adult stage;;2020-06-23;Section 2;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/adult-mouse-brain-section-2-coronal-stains-dapi-anti-gfap-anti-neu-n-1-standard-1-1-0;;Paired-end (28 X 90);V10M23-089;B1;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,807;56,020;4,221;20,993;;;;;;
10p5f;Adult Mouse Brain (Coronal). Stains: DAPI, Anti-NeuN;Adult Mouse Brain, DAPI and antibodies, 2 Section;;Spatial Gene Expression;Space Ranger v1.1.0;Mouse;unknown;Fresh Frozen;IF|DAPI;Specimen from Organism;1;adult stage;;2020-06-23;Section 1;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/adult-mouse-brain-section-1-coronal-stains-dapi-anti-neu-n-1-standard-1-1-0;;Paired-end (28 X 90);V10M23-089;C1;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,903;51,648;4,635;21,474;;;;;;
104ee;Adult Human (Cerebral Cortex, Unknown orientation). Stains: Anti-SNAP25, Anti-NFH;Adult Human (Cerebral Cortex, Unknown orientation), 2 Sections;;Spatial Gene Expression;Space Ranger v1.1.0;Human;unknown;Fresh Frozen;DAPI|IF;Specimen from Organism;1;adult stage;;2020-06-23;Section 2;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/adult-human-brain-2-cerebral-cortex-unknown-orientation-stains-anti-snap-25-anti-nfh-1-standard-1-1-0;;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V10M23-117;D1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,972;75,668;2,924;25,711;;;;;;
10wv1;Adult Human (Cerebral Cortex, Unknown orientation). Stains: Anti-GFAP, Anti-NFH;Adult Human (Cerebral Cortex, Unknown orientation), 2 Sections;;Spatial Gene Expression;Space Ranger v1.1.0;Human;unknown;Fresh Frozen;Anti-GFAP|Anti-NFH;Specimen from Organism;1;adult stage;;2020-06-23;Section 1;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/adult-human-brain-1-cerebral-cortex-unknown-orientation-stains-anti-gfap-anti-nfh-1-standard-1-1-0;;28bp read 1 (16bp Visium spatial barcode, 12bp UMI), 90bp read 2 (transcript), 10bp i7 sample barcode and 10bp i5 sample barcode;V10M23-117;A1;Spatial 3' v1;;GRCh38-2020-A;spaceranger-1.1.0;4,910;73,102;2,606;25,285;;;;;;
10tzs;Mouse Brain Serial;Mouse Brain Serial, 4 Sections;;Spatial Gene Expression;Space Ranger v1.0.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2019-12-02;Sagittal-Posterior Section 2;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-posterior-1-standard-1-0-0;;28 x 120 bp;V19L29-035;B1;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;3,289;73,558;4,542;21,175;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
10huw;Mouse Brain Serial;Mouse Brain Serial, 4 Sections;;Spatial Gene Expression;Space Ranger v1.0.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2019-12-02;Sagittal-Anterior Section 2;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-2-sagittal-anterior-1-standard-1-0-0;;28 x 120 bp;V19L29-035;D1;Visium V1 Slide - 3';;mm10-2020-A;spaceranger-2.0.0;2,823;129,822;5,342;21,221;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
10jff;Mouse Brain Serial;Mouse Brain Serial, 4 Sections;;Spatial Gene Expression;Space Ranger v1.0.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2019-12-02;Sagittal-Posterior Section 1;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-1-sagittal-posterior-1-standard-1-0-0;;28 x 120 bp;V19L29-035;A1;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;3,355;87,128;4,772;21,363;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
10224;Mouse Brain Serial;Mouse Brain Serial, 4 Sections;;Spatial Gene Expression;Space Ranger v1.0.0;Mouse;unknown;Fresh Frozen;H&E;Specimen from Organism;1;unknown;;2019-12-02;Sagittal-Anterior Section 1;Visium;Creative Commons Attribution 4.0 International;brain;Visium v1;RNA;unknown;;spaceranger count;https://www.10xgenomics.com/datasets/mouse-brain-serial-section-1-sagittal-anterior-1-standard-1-0-0;;28 x 120 bp;V19L29-035;B1;Spatial 3' v1;;mm10-2020-A;spaceranger-1.1.0;2,695;124,414;6,228;21,334;Nikon Ti2-E microscope;10X objective;0.45;Color camera;10 ms;4.5X
